"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"351",0,0,0,0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0,0,0,0
"353",0,0,0,0,0,0,0,0,0,0
"354",1,0,1,2,0,1,0,0,2,0
"355",0,1,1,1,0,1,0,0,1,0
"356",0,0,0,0,1,0,0,0,0,1
"357",0,0,0,0,0,0,0,0,0,0
"358",0,0,0,0,0,0,0,1,0,0
"359",0,2,0,0,1,0,0,0,0,1
"360",0,0,0,0,0,0,0,0,0,0
"361",0,1,0,0,2,0,0,2,0,2
"362",0,0,0,0,0,0,0,0,0,0
"363",0,0,0,0,0,0,0,0,0,0
"364",0,0,0,0,0,0,0,0,0,2
"365",0,0,0,0,0,0,0,0,0,0
"366",0,0,0,0,0,0,0,0,0,0
"367",0,0,0,0,0,0,0,0,0,0
"368",0,1,0,0,1,0,0,1,0,4
"369",0,0,0,0,1,0,1,1,0,1
"370",0,0,0,0,0,0,0,1,0,0
"371",0,0,0,0,0,0,0,0,0,0
"372",0,0,0,0,0,0,0,0,0,0
"373",0,1,0,0,0,0,0,0,0,1
"374",0,1,0,1,0,0,0,0,0,1
"375",0,3,1,0,1,0,1,1,0,1
"376",0,0,0,0,0,0,0,0,0,0
"377",2,3,1,1,1,1,2,1,3,1
"378",0,0,0,0,1,0,0,0,0,1
"379",2,0,2,1,0,1,0,0,2,0
"380",0,0,0,0,0,0,0,0,0,0
"381",0,0,0,0,0,0,0,0,0,0
"382",0,1,0,0,0,0,1,0,0,0
"383",1,0,1,0,0,0,0,0,1,0
"384",1,2,2,1,1,2,1,1,1,3
"385",0,2,0,1,0,0,0,2,0,2
"386",0,0,0,0,0,0,0,0,0,0
"387",0,0,0,0,0,0,0,1,0,1
"388",0,2,0,0,1,0,1,1,0,3
"389",0,1,0,0,0,1,0,3,1,2
"390",0,0,0,0,0,0,0,0,0,0
"391",0,0,0,0,1,0,0,0,0,1
"392",0,0,0,0,1,0,0,0,0,1
"393",0,0,0,0,0,0,0,0,0,0
"394",0,0,0,0,0,0,0,0,0,0
"395",0,0,0,0,0,0,0,0,0,0
"396",0,0,0,0,0,0,0,0,0,0
"397",0,0,0,0,0,1,1,0,1,0
"398",0,0,0,0,0,0,0,0,0,0
"399",0,0,0,0,1,0,0,0,0,1
"400",0,1,0,1,0,0,0,0,0,1
"401",0,0,0,0,0,0,0,0,0,0
"402",0,1,0,1,2,0,0,1,0,3
"403",0,0,0,0,0,0,0,0,0,0
"404",0,0,0,0,0,0,0,0,0,0
"405",0,0,0,0,1,0,0,0,0,1
"406",0,0,0,0,0,0,0,0,0,0
"407",0,1,1,0,1,0,1,1,0,1
"408",0,0,0,0,0,0,0,1,0,2
"409",0,0,0,0,0,0,0,0,0,0
"410",0,0,0,1,0,0,0,0,0,0
"411",0,0,0,0,0,0,0,0,0,0
"412",0,2,0,0,1,0,0,0,0,1
"413",0,0,0,0,0,0,0,0,0,0
"414",0,0,0,0,0,0,0,0,0,1
"415",0,0,0,0,1,0,0,0,0,1
"416",2,0,0,2,0,1,1,0,3,0
"417",0,0,0,0,0,0,0,0,0,0
"418",0,0,0,0,0,0,0,0,0,0
"419",0,0,0,0,0,0,0,1,0,0
"420",0,1,0,0,0,0,0,0,0,1
"421",0,0,0,0,1,0,0,0,0,1
"422",0,0,0,2,0,2,1,1,2,1
"423",0,0,0,0,0,0,0,0,0,0
"424",0,0,0,0,0,0,0,0,0,0
"425",0,2,0,0,1,0,0,0,0,1
"426",0,0,0,0,0,0,0,0,0,0
"427",0,0,0,0,0,0,0,0,0,0
"428",0,0,0,0,0,0,0,0,0,0
"429",0,2,0,1,1,0,1,0,0,2
"430",1,2,1,2,3,4,3,1,1,3
"431",0,0,0,0,0,0,0,0,0,0
"432",0,0,0,0,0,0,0,0,0,0
"433",1,0,1,0,0,0,0,0,1,0
"434",0,0,0,0,1,0,0,0,0,1
"435",0,0,0,0,0,0,0,0,0,0
"436",1,0,1,1,1,1,0,0,1,1
"437",0,0,0,0,0,0,0,0,0,0
"438",0,0,0,0,0,0,0,0,0,0
"439",0,0,0,0,0,0,0,0,0,0
"440",1,0,1,1,0,1,0,0,1,0
"441",0,2,0,0,1,0,0,0,0,1
"442",1,0,0,0,0,0,0,0,2,0
"443",0,0,0,0,0,0,0,0,0,0
"444",0,1,0,0,1,0,0,1,0,1
"445",0,0,0,0,0,0,0,0,0,0
"446",0,0,0,0,0,0,0,0,0,0
"447",0,0,0,0,1,0,0,0,0,1
"448",0,0,0,0,0,0,0,0,0,0
"449",0,0,0,0,0,0,0,0,0,0
"450",0,0,0,0,1,0,0,0,0,1
"451",2,0,0,2,0,1,1,0,3,0
"452",0,0,0,0,1,0,0,0,0,1
"453",0,0,0,0,0,0,0,0,0,0
"454",0,1,0,0,0,0,0,0,0,1
"455",1,0,1,1,0,1,0,0,1,0
"456",0,0,0,0,1,0,0,0,0,1
"457",1,0,1,1,1,1,0,1,0,3
"458",0,0,0,0,0,0,0,0,0,0
"459",0,0,0,0,0,1,0,0,2,0
"460",0,0,0,0,1,0,0,0,0,1
"461",1,0,1,0,1,0,1,3,1,2
"462",0,0,0,0,0,0,0,1,0,0
"463",0,0,0,0,1,0,0,0,0,1
"464",0,0,0,0,0,0,0,0,0,0
"465",0,0,1,0,1,1,0,0,1,1
"466",0,0,0,0,0,0,0,0,0,0
"467",1,1,0,1,1,1,1,1,1,1
"468",1,0,1,0,0,0,1,0,2,0
"469",0,0,0,0,1,0,0,0,0,1
"470",1,1,1,1,0,2,0,0,4,0
"471",1,1,1,1,1,1,1,1,1,1
"472",0,0,0,0,0,0,0,0,0,0
"473",0,0,0,0,0,0,0,0,0,0
"474",1,4,0,1,1,0,0,1,1,2
"475",0,0,0,0,1,0,0,0,0,1
"476",2,0,2,0,0,0,0,0,2,2
"477",0,2,0,0,1,0,0,0,0,1
"478",0,1,0,0,1,0,0,2,0,1
"479",0,1,1,0,1,1,1,2,1,1
"480",0,0,0,0,1,0,0,0,0,1
"481",0,0,0,0,1,0,0,0,0,1
"482",1,1,1,1,2,1,0,3,0,3
"483",0,2,0,1,0,0,0,2,0,2
"484",0,1,0,0,0,0,0,0,0,0
"485",0,1,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0,1,0,1
"487",1,0,0,0,0,0,0,0,1,0
"488",0,0,0,0,1,0,0,0,0,1
"489",0,0,0,0,0,0,0,0,1,0
"490",0,0,0,0,0,0,0,1,0,1
"491",0,0,0,0,0,0,0,0,0,0
"492",0,1,0,1,0,0,0,0,0,0
"493",0,1,0,2,2,1,0,0,2,2
"494",0,0,0,0,1,0,0,0,0,1
"495",0,0,0,0,0,0,0,0,0,0
"496",0,0,0,0,0,0,0,0,0,0
"497",0,0,0,0,0,0,0,0,0,0
"498",0,0,0,0,0,0,0,1,0,1
"499",0,1,0,0,1,0,0,1,0,3
"500",0,1,0,0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0,0,0,0
"502",0,3,0,0,1,0,0,1,0,2
"503",0,2,0,0,1,0,0,0,0,1
"504",0,0,0,0,0,0,0,0,0,0
"505",3,0,2,0,0,1,1,0,3,0
"506",0,0,0,0,0,0,0,0,0,0
"507",3,0,2,0,0,1,1,0,3,0
"508",0,0,0,0,0,0,0,0,0,0
"509",0,0,0,1,0,0,0,0,0,0
"510",0,0,0,0,1,0,0,0,0,1
"511",0,0,0,0,0,0,0,0,0,0
"512",2,2,2,2,1,2,0,1,2,1
"513",2,2,2,2,1,2,0,1,2,1
"514",0,0,0,0,1,0,0,0,0,1
"515",0,0,0,0,0,0,0,0,0,0
"516",0,0,0,0,0,0,0,0,0,0
"517",0,0,0,1,0,1,1,0,1,0
"518",0,1,0,0,1,0,1,0,0,2
"519",0,0,0,0,0,0,0,0,0,0
"520",1,0,1,1,0,1,0,0,1,0
"521",0,2,0,1,0,0,1,0,0,0
"522",0,0,0,0,0,0,0,0,0,0
"523",0,0,0,0,0,0,0,0,0,0
"524",0,0,0,0,1,0,0,0,0,1
"525",0,0,0,0,0,0,0,0,1,0
"526",0,0,0,0,1,0,0,0,0,1
"527",0,0,0,0,0,0,0,0,0,0
"528",0,0,0,0,0,0,0,0,0,0
"529",0,0,0,0,0,0,0,0,0,0
"530",0,2,0,1,0,0,0,2,0,2
"531",0,0,0,0,1,1,0,0,1,1
"532",0,0,0,0,1,0,0,1,0,1
"533",0,0,0,0,0,0,0,0,0,0
"534",0,0,0,0,0,0,0,0,0,0
"535",0,1,0,0,1,0,1,2,0,2
"536",0,0,0,0,1,0,0,0,0,1
"537",0,1,0,0,2,0,0,3,0,3
"538",0,0,0,0,0,0,0,0,0,0
"539",0,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,2,0,0,0,0,3
"541",0,0,0,0,1,0,0,0,0,1
"542",0,1,0,1,0,0,0,0,0,0
"543",0,0,0,0,0,0,0,0,0,0
"544",1,0,1,0,1,1,1,0,1,1
"545",0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0,0,0,0,0,0,0
"547",0,0,0,0,1,0,0,0,0,1
"548",0,0,0,0,0,0,0,1,0,1
"549",0,0,0,0,0,0,0,0,0,0
"550",0,1,0,0,0,0,0,0,0,1
